YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,EW15,4623,6679
2022-12,WEEKDAY,12,TRAIN,EW15,15530,18794
2022-12,WEEKDAY,7,TRAIN,SW4,3245,1331
2022-12,WEEKENDS/HOLIDAY,7,TRAIN,SW4,422,380
2022-12,WEEKDAY,22,TRAIN,DT33,2351,14768
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1511,6863
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,EW24,14391,32866
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,14391,32866
2022-12,WEEKDAY,11,TRAIN,NS1,25506,56349
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,NS1,14391,32866
2022-12,WEEKDAY,11,TRAIN,EW24,25506,56349
2022-12,WEEKDAY,11,TRAIN,EW24/NS1,25506,56349
2022-12,WEEKDAY,21,TRAIN,EW25,2352,7750
2022-12,WEEKENDS/HOLIDAY,21,TRAIN,EW25,1808,3730
2022-12,WEEKENDS/HOLIDAY,16,TRAIN,CC2,1322,1258
2022-12,WEEKDAY,16,TRAIN,CC2,3583,1973
2022-12,WEEKENDS/HOLIDAY,14,TRAIN,CC12,1358,1256
2022-12,WEEKDAY,14,TRAIN,CC12,2750,2759
2022-12,WEEKDAY,16,TRAIN,NS20,38819,19080
2022-12,WEEKENDS/HOLIDAY,16,TRAIN,NS20,10051,8057
2022-12,WEEKENDS/HOLIDAY,21,TRAIN,NS13,13005,19086
2022-12,WEEKDAY,21,TRAIN,NS13,27500,42736
2022-12,WEEKENDS/HOLIDAY,5,TRAIN,NS13,4680,627
2022-12,WEEKDAY,5,TRAIN,NS13,19800,2684
2022-12,WEEKDAY,5,TRAIN,PW6,396,59
2022-12,WEEKENDS/HOLIDAY,5,TRAIN,PW6,117,7
2022-12,WEEKDAY,13,TRAIN,CC21,5946,4982
2022-12,WEEKENDS/HOLIDAY,13,TRAIN,CC21,2543,2409
2022-12,WEEKDAY,14,TRAIN,PE7,2566,2760
2022-12,WEEKENDS/HOLIDAY,14,TRAIN,PE7,1538,1298
2022-12,WEEKDAY,10,TRAIN,CC20,3201,2394
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,CC20,1878,1400
2022-12,WEEKDAY,16,TRAIN,NS14,17364,22357
2022-12,WEEKENDS/HOLIDAY,16,TRAIN,NS14,10245,9726
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,NS15,5134,2792
2022-12,WEEKDAY,11,TRAIN,NS15,14432,10042
2022-12,WEEKDAY,5,TRAIN,EW21/CC22,863,624
2022-12,WEEKENDS/HOLIDAY,5,TRAIN,EW21/CC22,160,63
2022-12,WEEKDAY,5,TRAIN,EW21,742,325
2022-12,WEEKDAY,5,TRAIN,CC22,863,624
2022-12,WEEKENDS/HOLIDAY,5,TRAIN,EW21,141,30
2022-12,WEEKENDS/HOLIDAY,5,TRAIN,CC22,160,63
2022-12,WEEKDAY,11,TRAIN,BP4,2007,976
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,BP4,744,400
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,NS27,513,632
2022-12,WEEKDAY,11,TRAIN,TE20,95,346
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,TE20,92,257
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,CE2,338,524
2022-12,WEEKDAY,11,TRAIN,CE2,433,486
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2/TE20,338,524
2022-12,WEEKDAY,11,TRAIN,NS27/CE2/TE20,433,486
2022-12,WEEKDAY,11,TRAIN,NS27,1479,1436
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,6436,1959
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,CC15,6043,6286
2022-12,WEEKDAY,9,TRAIN,NS17/CC15,17836,5132
2022-12,WEEKDAY,9,TRAIN,CC15,16217,16047
2022-12,WEEKDAY,9,TRAIN,NS17,17836,5132
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,NS17,6436,1959
2022-12,WEEKENDS/HOLIDAY,6,TRAIN,EW10,3029,902
2022-12,WEEKDAY,6,TRAIN,EW10,10466,2768
2022-12,WEEKDAY,8,TRAIN,NS28,1511,2283
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,NS28,358,1284
2022-12,WEEKDAY,7,TRAIN,EW33,3922,10256
2022-12,WEEKENDS/HOLIDAY,7,TRAIN,EW33,1398,2136
2022-12,WEEKDAY,18,TRAIN,BP12,1699,4731
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,BP12,696,770
2022-12,WEEKDAY,0,TRAIN,NS26,298,93
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,9784,269
2022-12,WEEKDAY,0,TRAIN,EW14/NS26,298,93
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,NS26,9784,269
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,EW14,9784,269
2022-12,WEEKDAY,0,TRAIN,EW14,298,93
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,CG2,56,42
2022-12,WEEKDAY,0,TRAIN,CG2,66,94
2022-12,WEEKDAY,16,TRAIN,NE5,8223,7088
2022-12,WEEKENDS/HOLIDAY,16,TRAIN,NE5,3639,3803
2022-12,WEEKDAY,11,TRAIN,NE16/STC,33126,24304
2022-12,WEEKDAY,11,TRAIN,STC,33126,24304
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,NE16,17483,12239
2022-12,WEEKDAY,11,TRAIN,NE16,33126,24304
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,STC,17483,12239
2022-12,WEEKENDS/HOLIDAY,11,TRAIN,NE16/STC,17483,12239
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,TE6,3552,1183
2022-12,WEEKDAY,9,TRAIN,TE6,8864,2415
2022-12,WEEKENDS/HOLIDAY,13,TRAIN,EW9,8392,7327
2022-12,WEEKDAY,13,TRAIN,EW9,11464,10551
2022-12,WEEKDAY,8,TRAIN,TE5,4890,1996
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,TE5,1010,518
2022-12,WEEKENDS/HOLIDAY,17,TRAIN,CC6,5999,8407
2022-12,WEEKDAY,17,TRAIN,CC6,8227,8310
2022-12,WEEKDAY,8,TRAIN,NE8,16391,21111
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,NE8,4819,5636
2022-12,WEEKDAY,20,TRAIN,CC7,2338,4820
2022-12,WEEKENDS/HOLIDAY,20,TRAIN,CC7,1267,2345
2022-12,WEEKENDS/HOLIDAY,20,TRAIN,NS3,3086,7717
2022-12,WEEKDAY,20,TRAIN,NS3,6575,20457
2022-12,WEEKDAY,0,TRAIN,BP13,0,2
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,BP13,0,1
2022-12,WEEKDAY,10,TRAIN,SE3,2693,800
2022-12,WEEKENDS/HOLIDAY,10,TRAIN,SE3,1437,470
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,NE3,3254,3395
2022-12,WEEKDAY,9,TRAIN,EW16/NE3/TE17,2918,9933
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,972,1738
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,EW16,972,1738
2022-12,WEEKDAY,9,TRAIN,EW16,2918,9933
2022-12,WEEKENDS/HOLIDAY,9,TRAIN,TE17,161,345
2022-12,WEEKDAY,9,TRAIN,TE17,389,2175
2022-12,WEEKDAY,9,TRAIN,NE3,9668,22277
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,NE16,15748,19953
2022-12,WEEKDAY,18,TRAIN,NE16,40338,75479
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,STC,15748,19953
2022-12,WEEKDAY,18,TRAIN,STC,40338,75479
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,15748,19953
2022-12,WEEKDAY,18,TRAIN,NE16/STC,40338,75479
2022-12,WEEKENDS/HOLIDAY,12,TRAIN,TE3,2892,1068
2022-12,WEEKDAY,12,TRAIN,TE3,4905,2982
2022-12,WEEKENDS/HOLIDAY,5,TRAIN,EW15,162,64
2022-12,WEEKDAY,5,TRAIN,EW15,659,748
2022-12,WEEKENDS/HOLIDAY,18,TRAIN,NS7,8716,8208
2022-12,WEEKDAY,18,TRAIN,NS7,23236,25326
2022-12,WEEKENDS/HOLIDAY,0,TRAIN,NS15,212,613
2022-12,WEEKDAY,0,TRAIN,NS15,361,1086
2022-12,WEEKDAY,15,TRAIN,NS15,15927,9342
2022-12,WEEKENDS/HOLIDAY,15,TRAIN,NS15,4483,3582
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,DT7,815,877
2022-12,WEEKDAY,22,TRAIN,DT7,1541,1626
2022-12,WEEKENDS/HOLIDAY,15,TRAIN,PW4,2124,2092
2022-12,WEEKDAY,15,TRAIN,PW4,3267,3666
2022-12,WEEKENDS/HOLIDAY,22,TRAIN,TE4,690,766
2022-12,WEEKDAY,22,TRAIN,TE4,1427,1453
2022-12,WEEKENDS/HOLIDAY,15,TRAIN,EW23,15113,14796
2022-12,WEEKDAY,15,TRAIN,EW23,29420,28950
2022-12,WEEKENDS/HOLIDAY,20,TRAIN,NE8,17746,10770
2022-12,WEEKDAY,20,TRAIN,NE8,21677,20009
2022-12,WEEKENDS/HOLIDAY,19,TRAIN,EW33,1537,1706
2022-12,WEEKDAY,19,TRAIN,EW33,4254,3243
2022-12,WEEKENDS/HOLIDAY,8,TRAIN,TE16,822,825
